Title,Authors,Year,Citations
Feature pyramid networks for object detection,"TY Lin, P Dollár, R Girshick, K He",2017,35008
Spatial pyramid pooling in deep convolutional networks for visual recognition,"K He, X Zhang, S Ren, J Sun",2015,18360
Aggregated residual transformations for deep neural networks,"R Girshick, P Dollár, Z Tu, K He",2017,15460
Identity mappings in deep residual networks,"K He, X Zhang, S Ren, J Sun",2016,14294
Principles of instructional design,"RM Gagne, WW Wager, KC Golas, JM Keller…",2005,14024
Non-local neural networks,"R Girshick, A Gupta, K He",2018,13113
Image super-resolution using deep convolutional networks,"C Dong, CC Loy, K He, X Tang",2015,11780
Guided image filtering,"K He, J Sun, X Tang",2012,8889
R-fcn: Object detection via region-based fully convolutional networks,"J Dai, Y Li, K He, J Sun",2016,8467
Learning a deep convolutional network for image super-resolution,"C Dong, CC Loy, K He, X Tang",2014,7251
UCI machine learning repository,D Newman,2007,6260
Global prevalence and burden of depressive and anxiety disorders in 204 countries and territories in 2020 due to the COVID-19 pandemic,"JJ Frostad, N Fullman, JR Giles, AZ Giref, G Guo, J He",2021,5685
Group normalization,"Y Wu, K He",2018,5301
SOAPdenovo2: an empirically improved memory-efficient short-read de novo assembler,"R Luo, B Liu, G He",2012,5297
High-performance bulk thermoelectrics with all-scale hierarchical architectures,"K Biswas, J He, ID Blum, CI Wu, TP Hogan",2012,5061
The evolution of sex,"JM Smith, J Maynard-Smith",1978,4931
"The B73 maize genome: complexity, diversity, and dynamics","D Kudrna, R He",2009,4821
Control of valley polarization in monolayer MoS2 by optical helicity,"KF Mak, J Shan, TF Heinz",2012,4664
Global burden of obesity in 2005 and projections to 2030,"K Reynolds, J He",2008,4648
Experimental observation of the quantum anomalous Hall effect in a magnetic topological insulator,"J Jia, X Dai, SC Zhang",2013,4452
Improved baselines with momentum contrastive learning,"X Chen, H Fan, R Girshick, K He",2020,4310
Integrating technology into K-12 teaching and learning: Current knowledge gaps and recommendations for future research,"KF Hew, T Brush",2007,4215
US renal data system 2016 annual data report: epidemiology of kidney disease in the United States,"YN Hall, Y Han, K He",2017,3918
Tightly bound trions in monolayer MoS2,"KF Mak, C Lee, GH Lee, J Hone, TF Heinz",2013,3400
Convolutional neural networks at constrained time cost,"K He, J Sun",2015,3247
Mechanism and regulation of NLRP3 inflammasome activation,G Núñez,2016,2928
Global mapping of the yeast genetic interaction network,"J Haynes, S Hussein",2004,2604
"Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early …","G Yang, W Wang, Y Lou, D Gao, L Yang, D He",2020,2483
Trends in China's anthropogenic emissions since 2010 as the consequence of clean air actions,"Y Zhang, H Zhao, Y Zheng",2018,2429
Asian emissions in 2006 for the NASA INTEX-B mission,GR Carmichael,2009,2351
Structure and ligand of a histone acetyltransferase bromodomain,AK Aggarwal,1999,2294
Exploiting unintended feature leakage in collaborative learning,"L Melis, C Song, E De Cristofaro",2019,2187
Major causes of death among men and women in China,"J He, K Reynolds",2005,2029
"Pierre Menard, author of the Quixote",JL Borges,1964,1646
Predicting intrinsic disorder in proteins: an overview,"Y Liu, B Xue, VN Uversky, AK Dunker",2009,551
COVID-19 in persons with haematological cancers,"W He, L Chen, L Chen, G Yuan, Y Fang, W Chen, D Wu…",2020,529
Minority report,"PK Dick, J Tiptree",2002,517
Name disambiguation in author citations using a k-way spectral clustering method,"H Zha, CL Giles",2005,400
"… , misdiagnoses, missed diagnoses, and other interpretive challenges in fish histopathology studies: a guide for investigators, authors, reviewers, and readers",HE Segner,2015,260
Author identification: Using text sampling to handle the class imbalance problem,E Stamatatos,2008,257
Clinical characteristics and outcomes of COVID-19–infected cancer patients: a systematic review and meta-analysis,"H Zhang, T He",2021,241
Discovering author impact: A PageRank perspective,"E Yan, Y Ding",2011,231
Author identification on the large scale,"D Madigan, A Genkin, DD Lewis",2005,190
The intrinsic thermal conductivity of SnSe,"PC Wei, S Bhattacharya, J He, S Neeleshwar, R Podila",2016,180
A catalogue of texts and authors,WG Lambert,1962,180
Mining a web citation database for author co-citation analysis,"Y He, SC Hui",2002,155
Citation recommendation without author supervision,"Q He, D Kifer, J Pei, P Mitra, CL Giles",2011,151
Who was the author? An introduction to stylometry,J Kardos,2003,112
Appropriate similarity measures for author co‐citation analysis,"NJ Van Eck, L Waltman",2008,98
"Stereospecific CO2 Copolymers from 3,5-Dioxaepoxides: Crystallization and Functionallization","Y Liu, M Wang, WM Ren, KK He, YC Xu, J Liu…",2014,97
"… be likened to a review article, only the author, not being limited by the 50-page upper limit on reviews, was able to present a more complete summary of the work he …",HJ NOROWITZ,1957,82
Bayesian multinomial logistic regression for author identification,"D Madigan, A Genkin, DD Lewis",2005,79
